	cel	Condition	maxAmp
71	Sperm-7-Cap_170815_Exp15_cell-2	Cap	0.019459151262566594
72	Sperm-7-Cap_170815_Exp15_cell-1	Cap	0.030319879684212497
73	Sperm-8-Cap_170815_Exp18_cell-2	Cap	0.04963290550207893
74	Sperm-3-Cap_170815_Exp9_cell-1	Cap	0.009468701685653155
75	Sperm-1-Cap_170815_Exp2_cell-2	Cap	0.01024314869936761
76	Sperm-6-Cap_170815_Exp13	Cap	0.0144411758349074
77	Sperm-3-Cap_170815_Exp9_cell-2	Cap	0.010712566210084663
78	Sperm-8-Cap_170815_Exp18_cell-1	Cap	0.5463949724435669
79	Sperm-4-Cap_170815_Exp11	Cap	0.3267763542239641
80	Sperm-5-Cap_170815_Exp12	Cap	0.3406097186426742
81	Sperm-1-Cap_170815_Exp2_cell-1	Cap	0.014766881209418685
82	Sperm-2-Cap_170815_Exp3	Cap	0.34923805683959624
