	cel	Condition	FDmean
0	Sperm-2-Cap_170601_Exp10	Cap	0.030535049522443236
1	Sperm-4-Cap_170601_Exp15	Cap	0.023630117586931565
2	Sperm-6-Cap_170601_Exp18	Cap	0.0211748787846755
3	Sperm-12-Cap_170601_Exp3-T0	Cap	0.02256578627435779
4	Sperm-1-Cap_170601_Exp9	Cap	0.04300962411922549
5	Sperm-5-Cap_170601_Exp16	Cap	0.0330546677715895
6	Sperm-9-Cap_170601_Exp24	Cap	0.02825967615397884
7	Sperm-8-Cap_170601_Exp23	Cap	0.022473426394941987
8	Sperm-10-Cap_170601_Exp27	Cap	0.02805247163428448
9	Sperm-11-Cap_170601_Exp30	Cap	0.03451770664623277
10	Sperm-3-Cap_170601_Exp12	Cap	0.02385245031847849
11	Sperm-13-Cap_170601_Exp10-T0	Cap	0.041896369813568146
12	Sperm-7-Cap_170601_Exp21	Cap	0.015454258296482726
47	Sperm-3-Cap_170602_Exp9	Cap	0.02850132445209619
48	Sperm-6-Cap_170602_Exp14	Cap	0.019672898582293152
49	Sperm-2-Cap_170602_Exp6	Cap	0.045237555729144896
50	Sperm-4-Cap_170602_Exp10	Cap	0.04003025502966562
51	Sperm-1-Cap_170602_Exp4_cell-2	Cap	0.03242470725337321
52	Sperm-1-Cap_170602_Exp4_cell-1	Cap	0.033832379985872185
53	Sperm-7-Cap_170602_Exp17	Cap	0.015430590898630303
54	Sperm-1-Cap_170602_Exp4_cell-3	Cap	0.05039907805818489
55	Sperm-5-Cap_170602_Exp12	Cap	0.03412658680331315
56	Sperm-3-Cap_170607_Exp6-T0	Cap	0.033666321573391444
57	Sperm-2-Cap_170607_Exp3-T0	Cap	0.030338769606709448
58	Sperm-1-Cap_170607_Exp2	Cap	0.022131344178348167
59	Sperm-4-Cap_170607_Exp7-T0	Cap	0.0446514392151216
