	cel	Condition	FDmean
0	Sperm-2-Cap_170601_Exp10	Cap	0.030535049522443236
1	Sperm-4-Cap_170601_Exp15	Cap	0.023630117586931565
2	Sperm-6-Cap_170601_Exp18	Cap	0.0211748787846755
3	Sperm-12-Cap_170601_Exp3-T0	Cap	0.02256578627435779
4	Sperm-1-Cap_170601_Exp9	Cap	0.04300962411922549
5	Sperm-5-Cap_170601_Exp16	Cap	0.0330546677715895
6	Sperm-9-Cap_170601_Exp24	Cap	0.02825967615397884
7	Sperm-8-Cap_170601_Exp23	Cap	0.022473426394941987
8	Sperm-10-Cap_170601_Exp27	Cap	0.02805247163428448
9	Sperm-11-Cap_170601_Exp30	Cap	0.03451770664623277
10	Sperm-3-Cap_170601_Exp12	Cap	0.02385245031847849
11	Sperm-13-Cap_170601_Exp10-T0	Cap	0.041896369813568146
12	Sperm-7-Cap_170601_Exp21	Cap	0.015454258296482726
47	Sperm-3-Cap_170602_Exp9	Cap	0.02850132445209619
48	Sperm-6-Cap_170602_Exp14	Cap	0.019672898582293152
49	Sperm-2-Cap_170602_Exp6	Cap	0.045237555729144896
50	Sperm-4-Cap_170602_Exp10	Cap	0.04003025502966562
51	Sperm-1-Cap_170602_Exp4_cell-2	Cap	0.03242470725337321
52	Sperm-1-Cap_170602_Exp4_cell-1	Cap	0.033832379985872185
53	Sperm-7-Cap_170602_Exp17	Cap	0.015430590898630303
54	Sperm-1-Cap_170602_Exp4_cell-3	Cap	0.05039907805818489
55	Sperm-5-Cap_170602_Exp12	Cap	0.03412658680331315
56	Sperm-3-Cap_170607_Exp6-T0	Cap	0.033666321573391444
57	Sperm-2-Cap_170607_Exp3-T0	Cap	0.030338769606709448
58	Sperm-1-Cap_170607_Exp2	Cap	0.022131344178348167
59	Sperm-4-Cap_170607_Exp7-T0	Cap	0.0446514392151216
	cel	Condition	FDmean
71	Sperm-7-Cap_170815_Exp15_cell-2	Cap	0.026742838907648503
72	Sperm-7-Cap_170815_Exp15_cell-1	Cap	0.014489150930694805
73	Sperm-8-Cap_170815_Exp18_cell-2	Cap	0.019629961435399412
74	Sperm-3-Cap_170815_Exp9_cell-1	Cap	0.015992055530648308
75	Sperm-1-Cap_170815_Exp2_cell-2	Cap	0.02090731264055634
76	Sperm-6-Cap_170815_Exp13	Cap	0.018433684529248096
77	Sperm-3-Cap_170815_Exp9_cell-2	Cap	0.01645576041404273
78	Sperm-8-Cap_170815_Exp18_cell-1	Cap	0.014222419932915065
79	Sperm-4-Cap_170815_Exp11	Cap	0.022127825734983286
80	Sperm-5-Cap_170815_Exp12	Cap	0.03503589721436451
81	Sperm-1-Cap_170815_Exp2_cell-1	Cap	0.014015996496206107
82	Sperm-2-Cap_170815_Exp3	Cap	0.02495999200363541
	cel	Condition	FDmean
114	Sperm-5-Cap_171108_Exp17_cell-1	Cap	0.024334800611995666
115	Sperm-5-Cap_171108_Exp17_cell-2	Cap	0.015282481018045857
116	Sperm-1-Cap_171108_Exp9	Cap	0.04888713657156796
117	Sperm-3-Cap_171108_Exp11	Cap	0.03465623881909963
118	Sperm-2-Cap_171108_Exp10	Cap	0.03887288167440861
119	Sperm-6-Cap_171108_Exp18	Cap	0.014274655970235361
120	Sperm-4-Cap_171108_Exp15	Cap	0.02195582777174998
	cel	Condition	maxAmp
0	Sperm-2-Cap_170601_Exp10	Cap	0.09695192910136241
1	Sperm-4-Cap_170601_Exp15	Cap	0.025029054997462812
2	Sperm-6-Cap_170601_Exp18	Cap	1.0531927622057753
3	Sperm-12-Cap_170601_Exp3-T0	Cap	0.4505742215166163
4	Sperm-1-Cap_170601_Exp9	Cap	0.33405759809203783
5	Sperm-5-Cap_170601_Exp16	Cap	1.0511989382661038
6	Sperm-9-Cap_170601_Exp24	Cap	0.20423781801711297
7	Sperm-8-Cap_170601_Exp23	Cap	0.37842046928895523
8	Sperm-10-Cap_170601_Exp27	Cap	0.7671496928607069
9	Sperm-11-Cap_170601_Exp30	Cap	0.0780197752352191
10	Sperm-3-Cap_170601_Exp12	Cap	0.1196894801361763
11	Sperm-13-Cap_170601_Exp10-T0	Cap	1.518090131610909
12	Sperm-7-Cap_170601_Exp21	Cap	0.1542326745832702
47	Sperm-3-Cap_170602_Exp9	Cap	0.6867067510919617
48	Sperm-6-Cap_170602_Exp14	Cap	0.2622993800289438
49	Sperm-2-Cap_170602_Exp6	Cap	0.09489801662313631
